source1_val,source2_val,dates
72.8949,73.804134,10/02/2023
72.7923,73.110095,11/02/2023
72.7923,73.11013,12/02/2023
72.7923,74.099078,13/02/2023
73.6307,73.600115,14/02/2023
73.8645,74.000093,15/02/2023
74.2077,74.715092,16/02/2023
74.7638,74.000127,17/02/2023
74.7588,74.000078,18/02/2023
74.7588,74.000094,19/02/2023
74.7588,75.499108,20/02/2023
74.0432,74.650139,21/02/2023
74.8596,74.900087,22/02/2023
74.7087,75.400088,23/02/2023
74.7087,76.015134,24/02/2023
74.7087,76.015129,25/02/2023
74.7087,76.015124,26/02/2023
74.7087,74.650087,27/02/2023
75.4323,75.05009,28/02/2023
74.8932,75.265101,01/03/2023
75.2513,75.525145,02/03/2023
75.4729,75.400098,03/03/2023
75.4592,75.403774,04/03/2023
75.4592,75.405314,05/03/2023
75.4592,75.393718,06/03/2023
75.4728,75.600108,07/03/2023
75.4577,76.050137,08/03/2023
75.4577,75.850098,09/03/2023
75.9028,76.200085,10/03/2023
75.9406,76.200132,11/03/2023
75.9406,76.200135,12/03/2023
75.9406,75.550106,13/03/2023
75.4609,75.750135,14/03/2023
75.1927,40.250053,15/03/2023
75.7457,76.500093,16/03/2023
76.4095,76.960109,17/03/2023
76.6044,76.960089,18/03/2023
76.6044,76.960106,19/03/2023
76.6044,77.500119,20/03/2023
77.2422,77.250137,21/03/2023
76.8373,76.925141,22/03/2023
76.9561,76.000108,23/03/2023
76.3072,77.280149,24/03/2023
76.4479,77.280082,25/03/2023
76.4479,77.28012,26/03/2023
76.4479,76.535093,27/03/2023
76.5662,76.560111,28/03/2023
76.5939,77.325092,29/03/2023
76.9781,77.275111,30/03/2023
77.0863,78.000119,31/03/2023
77.3233,78.000079,01/04/2023
77.3233,78.000092,02/04/2023
77.3233,78.650145,03/04/2023
77.951,79.300084,04/04/2023
79.3563,80.200117,05/04/2023
79.4961,81.200134,06/04/2023
80.6713,81.100115,07/04/2023
82.3988,81.10009,08/04/2023
82.3988,81.100091,09/04/2023
82.3988,81.660084,10/04/2023
81.7441,81.100089,11/04/2023
82.1799,82.050111,12/04/2023
82.0934,81.700095,13/04/2023
81.6758,81.550161,14/04/2023
81.5045,81.550145,15/04/2023
81.5045,81.55016,16/04/2023
81.5045,82.050159,17/04/2023
81.6279,81.800152,18/04/2023
81.6028,81.700127,19/04/2023
81.6549,81.800086,20/04/2023
81.6188,81.450138,21/04/2023
81.4863,81.450092,22/04/2023
81.4863,81.450094,23/04/2023
81.4863,81.495082,24/04/2023
81.2745,80.851086,25/04/2023
81.5499,81.800115,26/04/2023
81.6274,81.85014,27/04/2023
81.5601,80.450148,28/04/2023
80.5093,80.450149,29/04/2023
80.5093,80.450096,30/04/2023
80.5093,80.70013,01/05/2023
80.5093,80.110131,02/05/2023
79.9609,79.500082,03/05/2023
79.3071,78.500115,04/05/2023
78.6139,77.815152,05/05/2023
76.8207,77.815114,06/05/2023
76.8207,77.810121,07/05/2023
76.8207,77.725081,08/05/2023
76.8207,78.000102,09/05/2023
